ind,sexe,age,taille,poids
ind_8,F,17,165.4,61.8
ind_8,F,18,165.4,60.9
ind_9,M,1.2,80.9,13
ind_9,M,2.1,90.8,15.4
ind_9,M,3,101.4,17.8
ind_9,M,4.2,110.3,21.4
ind_9,M,5,117.1,23.4
ind_9,M,10.1,150.3,48.7
ind_9,M,11.1,157,51
ind_9,M,13.1,173.2,67.5
ind_9,M,14,180.5,72.1
ind_9,M,15,186.3,78
ind_9,M,16,190.5,88.8
ind_9,M,17.9,199.3,94
ind_10,M,1.1,73.5,8.4
ind_10,M,2.2,83.9,10.5
ind_10,M,2.9,92.9,11.9
ind_10,M,4.1,99.6,13.1
ind_10,M,5,106,14.3
ind_10,M,6,111.9,17.3
ind_10,M,8,122.2,22.3
ind_10,M,9.3,128.3,24.9
ind_10,M,10.9,135.3,28.2
ind_10,M,12,141.5,33.2
ind_10,M,13,146.4,35.4
ind_10,M,13.9,153.4,40.6
ind_10,M,15.3,160,47.1
ind_10,M,16.2,162.2,50.7
ind_10,M,17.3,167.4,53.8
ind_10,M,18.4,167,58.6
ind_11,M,1,77.1,10.3
ind_11,M,2.9,97.3,14
ind_11,M,4.1,104.8,16.3
ind_11,M,4.9,111.8,17.3
ind_11,M,6,117.6,20.6
ind_11,M,7.2,124.1,24
ind_11,M,8.2,129.3,27.6
ind_11,M,9.4,134.4,30.2
ind_11,M,10.1,141.4,33.4
ind_11,M,11.2,146.6,37.4
ind_11,M,12,152.7,41.7
ind_11,M,15,173,58.6
ind_11,M,16.1,177.4,66
ind_11,M,17.9,182.8,72.1
ind_12,M,1,78.2,10.1
ind_12,M,2.2,88.7,12.6
ind_12,M,3,98.4,14
ind_12,M,4,106.1,15.6
ind_12,M,5.1,113.2,17.4
ind_12,M,6,119.5,20.1
ind_12,M,7,125.9,22.6
ind_12,M,8.1,131,26.4
ind_12,M,9.1,135.8,28.4
ind_12,M,10,143.2,31.7
ind_12,M,11,148.9,35.2
ind_12,M,12.2,154.6,40.8
ind_12,M,12.8,162,44.6
ind_12,M,15.2,176.2,56.8
ind_12,M,16.4,180,63.5
ind_12,M,16.9,183.9,66
ind_12,M,18,185.9,69.3
ind_13,F,1.8,84,10.7
ind_13,F,2.8,92.9,12.7
ind_13,F,4,100.7,14.2
ind_13,F,5,106.7,15.7
ind_13,F,6,112.8,18.5
ind_13,F,7,118.5,20.6
ind_13,F,8.1,125,23.2
ind_13,F,9.4,131.6,26.1
ind_13,F,10.1,136.3,29.8
ind_13,F,11,142.1,34.3
ind_13,F,12,147.8,38.8
ind_13,F,13.1,152.1,42.9
ind_13,F,13.9,155.4,46
ind_13,F,15,157.6,49.6
ind_13,F,16,158.6,51.6
ind_13,F,17,158.7,52.6
ind_13,F,18.3,158.8,52
ind_14,M,1,77.6,10.3
ind_14,M,2.3,87.6,12
ind_14,M,3.3,97.7,14.2
ind_14,M,4.1,105.3,15.9
ind_14,M,5.1,112.1,17.3
ind_14,M,9.4,135.2,28.4
ind_14,M,10,142.1,32.5
ind_14,M,11.1,146.8,36
ind_14,M,13.1,160.4,46.4
ind_14,M,14,167.9,52.4
ind_14,M,16.4,177.5,63.8
ind_14,M,17.2,181.4,67.9
ind_14,M,18.4,183.4,72.4
ind_15,F,2.3,83.7,11
ind_15,F,3.1,92.1,12.1
ind_15,F,4,99.2,11.5
ind_15,F,5,105.2,12.8
ind_15,F,6.1,110.9,14.8
ind_15,F,9.1,129.5,17.6
ind_15,F,10,134.3,22
ind_15,F,12.2,145.9,30
ind_15,F,13.2,149.4,31.6
ind_15,F,14,152.9,32.4
ind_15,F,15,155.3,36.9
ind_15,F,16.2,156.5,40.9
ind_15,F,17.3,156.8,42.2
ind_15,F,18,156.5,40.1
ind_16,M,1,76,9.9
ind_16,M,2,86,11.9
ind_16,M,3,96,13.9
ind_16,M,4,103,15.3
ind_16,M,5,110,16.8
ind_16,M,6,116,19.8
ind_16,M,7,122,22.2
ind_16,M,10.2,137.8,30.6
ind_16,M,11,142.9,34.4
ind_16,M,12.1,148.9,39.2
ind_16,M,14,162.9,50.2
ind_16,M,15,168.9,55.2
ind_16,M,16,172.9,60.9
ind_16,M,17,176.9,64.9
ind_16,M,18,177.9,67.9
ind_17,F,1,72.3,8.8
ind_17,F,2,84.1,10.8
ind_17,F,3,92.9,12.9
ind_17,F,4,100.2,13.4
ind_17,F,4.8,106.3,14.2
ind_17,F,6,112.3,17
ind_17,F,8.3,124.5,21.5
ind_17,F,9,130.1,22.4
ind_17,F,10,135.3,26.7
ind_17,F,11,141,30.7
ind_17,F,12.4,147.5,35.3
ind_17,F,15.1,157.2,44.4
ind_17,F,16.1,158.2,46.8
ind_17,F,17,158.2,47.4
ind_17,F,17.8,158.3,47
ind_18,F,1.9,85.7,10.9
ind_18,F,3,94.7,12.9
ind_18,F,4.1,102.7,13.1
ind_18,F,5,108.7,14.8
ind_18,F,6,114.7,17.5
ind_18,F,6.9,120.6,19.4
ind_18,F,8.2,126.6,21.5
ind_18,F,9,132.6,23.1
ind_18,F,10.1,138.4,27.3
ind_18,F,11,144.5,31.4
ind_18,F,14.3,159.2,40.6
ind_18,F,15.3,161.3,44.1
ind_18,F,17.1,162.3,46.7
ind_18,F,17.8,162.4,46.9
ind_19,F,0.9,73.8,8.3
ind_19,F,1.8,85.8,10.1
ind_19,F,2.9,94.8,12.2
ind_19,F,4.2,102.8,11.9
ind_19,F,5,108.8,13
ind_19,F,6.8,120.8,15.9
ind_19,F,8,126.8,18.5
ind_19,F,9.9,138.6,24.7
ind_19,F,11,144.6,28.3
ind_19,F,12,150.7,32.8
ind_19,F,13.1,155.6,35.6
ind_19,F,14,159.6,39.4
ind_19,F,15.1,161.6,42.9
ind_19,F,15.8,162.6,44.8
ind_19,F,18,162.7,44.1
ind_20,F,1.1,72.5,7.8
ind_20,F,4,101.4,10.4
ind_20,F,5.1,107.5,12.1
ind_20,F,6,113.6,13.9
ind_20,F,8.2,125.4,15.6
ind_20,F,9.1,131.2,17.5
ind_20,F,12.8,151.8,31.9
ind_20,F,14.9,157.4,35.4
ind_20,F,16.9,158.8,39.4
ind_21,M,2,90,14.5
ind_21,M,2.9,100.3,16.3
ind_21,M,4,109,18.8
ind_21,M,5.1,116.8,20.6
ind_21,M,5.9,122.6,23.5
ind_21,M,7,129.7,27.7
ind_21,M,8.2,134.7,30.8
ind_21,M,9.3,139.6,32.8
ind_21,M,12.1,159.9,51.1
ind_21,M,13.4,168,62.4
ind_21,M,14,174.6,68.4
ind_21,M,16.1,186.9,84.5
ind_21,M,17.9,190.8,91.4
ind_22,F,1,76.2,12.7
ind_22,F,2.1,88.4,14.8
ind_22,F,3.1,97.6,17.1
ind_22,F,4.1,106.2,21.7
ind_22,F,5.3,112.1,23.7
ind_22,F,5.8,117.8,26
ind_22,F,7,123.9,31.1
ind_22,F,8,130.1,34
ind_22,F,9.2,136.1,39
ind_22,F,11,150,49
ind_22,F,11.8,155.4,53.3
ind_22,F,13,162.1,60.1
ind_22,F,14,165.8,63.8
ind_22,F,15.4,167.9,70.9
ind_22,F,17,168.2,70
ind_22,F,18,168.4,70.1
ind_23,M,1.3,75.7,10.4
ind_23,M,2,85.6,12.4
ind_23,M,3,95.6,14.4
ind_23,M,4,102.5,16.2
ind_23,M,6,115.4,20.8
ind_23,M,9.4,131.3,29.1
ind_23,M,10.2,137,33.5
ind_23,M,11,142.1,36.8
ind_23,M,13,154.9,47.2
ind_23,M,14.4,162.1,53.1
ind_23,M,14.8,167.9,58.2
ind_23,M,16,172,64.8
ind_23,M,17.2,176,68.5
ind_23,M,18.2,177.3,71.9
ind_24,F,2.1,84.1,10.9
ind_24,F,4,100.4,12.9
ind_24,F,5.3,106.4,15.3
ind_24,F,5.9,111.6,16.2
ind_24,F,7.1,118.1,17.6
ind_24,F,9.3,130.1,21.5
ind_24,F,11,140.2,29.4
ind_24,F,12.1,146.4,33.1
ind_24,F,13,149.7,34.8
ind_24,F,14.4,154,38.1
ind_24,F,14.9,155.7,40.6
ind_24,F,15.9,155.9,44.6
ind_24,F,17.4,156.4,47.1
ind_24,F,18,156,45.1
ind_25,M,2.1,89.7,12.9
ind_25,M,3,99.9,15.1
ind_25,M,3.9,108.4,17.2
ind_25,M,5.2,115.4,18
ind_25,M,6,121.4,21.4
ind_25,M,7.1,128,24.2
ind_25,M,8.4,132.6,27
ind_25,M,9,137.8,29.9
ind_25,M,10,146.7,35.5
ind_25,M,12.3,158.9,43.8
ind_25,M,13,166.5,51
ind_25,M,14.1,172.5,57
ind_25,M,15,179.2,62.5
ind_25,M,16.4,182.3,69.3
ind_25,M,17,187.8,74
ind_25,M,18,188.2,76.9
ind_26,M,0.8,75,8.9
ind_26,M,2.1,85.1,11.8
ind_26,M,3,95.1,13.5
ind_26,M,5,108.8,16.3
ind_26,M,7.1,120.6,21.9
ind_26,M,7.8,125.3,24.6
ind_26,M,9.3,130.6,28.1
ind_26,M,10,136,29.7
ind_26,M,11,140.9,33.1
ind_26,M,13,153.2,42.4
ind_26,M,15,166,53.4
ind_26,M,16.4,170.3,60.1
ind_26,M,17.2,173.9,63.7
ind_26,M,18,174.5,66.3
ind_27,M,2.3,86.3,12.6
ind_27,M,3.8,103.1,14.6
ind_27,M,7,122.2,22.1
ind_27,M,8,127.2,25.6
ind_27,M,8.9,132.1,27.3
ind_27,M,10.1,138.4,31
ind_27,M,11.1,143.4,34.4
ind_27,M,12.3,149.5,39.9
ind_27,M,13.2,156.4,44.1
ind_27,M,14.9,169.3,54.4
ind_27,M,16.4,173.6,61.4
ind_27,M,17.1,177.4,64.6
ind_27,M,18.1,178.5,67.7
ind_28,M,1,79.8,11.5
ind_28,M,2,89.9,13.4
ind_28,M,4,107.3,17.9
ind_28,M,5,114.4,19.5
ind_28,M,6.4,120.4,23.5
ind_28,M,8,131.7,29.2
ind_28,M,9,136.3,31.3
ind_28,M,10.1,144.4,38.4
ind_28,M,11.1,148.9,42.5
ind_28,M,12.9,162.9,54.9
ind_28,M,15.1,176.5,65.9
ind_28,M,17.3,185.9,80.4
ind_28,M,18.3,186.3,83
ind_29,F,1.1,72.5,8.5
ind_29,F,3.1,93.4,12.5
ind_29,F,3.9,101.3,11.8
ind_29,F,5.2,107.3,13.9
ind_29,F,6.1,113.2,15.6
ind_29,F,8.1,125.4,17.9
ind_29,F,10.2,136.7,21.7
ind_29,F,11.2,142.8,25.6
ind_29,F,12,148.8,29
ind_29,F,13.3,153,32.9
ind_29,F,14.1,156.9,35.8
ind_29,F,15,158.9,39.5
ind_29,F,16.3,160.1,42.7
ind_29,F,18.2,160.3,43.5
ind_30,M,1,74,8.8
ind_30,M,2,84,10.8
ind_30,M,3,94.2,12.7
ind_30,M,4.4,101,13.5
ind_30,M,4.9,107.7,14.8
ind_30,M,6.2,113.8,18.1
ind_30,M,7.8,124.5,23.6
ind_30,M,9.3,129.7,25.8
ind_30,M,10,134.8,26.4
ind_30,M,11,139.8,29.5
ind_30,M,12,146,34.3
ind_30,M,13,152.8,35.9
ind_30,M,14,159.5,42
ind_30,M,15,165.5,46.6
ind_30,M,16,169.8,49.2
ind_30,M,17,173.5,53.9
ind_30,M,18.3,175.2,58.1
ind_31,M,1,75.7,10.9
ind_31,M,3.3,96.2,15.8
ind_31,M,5,109.7,18.4
ind_31,M,6,115.7,21.6
ind_31,M,6.8,121.3,24.1
ind_31,M,8,126.6,28
ind_31,M,9.1,131.7,30.4
ind_31,M,10.2,137.7,36.4
ind_31,M,10.9,142.3,39.3
ind_31,M,12.1,148.5,45.2
ind_31,M,13,155.3,52.6
ind_31,M,14.4,162.8,60.3
ind_31,M,15.2,168.7,64.2
ind_31,M,17,176.3,76
ind_31,M,18,177.3,78.1
ind_32,M,1.9,83.4,11
ind_32,M,3.3,93.8,13.7
ind_32,M,4,99.8,14.2
ind_32,M,5,106.9,15.7
ind_32,M,6.2,113.4,19.2
ind_32,M,7.4,118.7,21.8
ind_32,M,8.3,123.5,25.1
ind_32,M,9,128,26.6
ind_32,M,10.3,132.8,29.5
ind_32,M,11,137.7,32.1
ind_32,M,13,148.7,40.1
ind_32,M,14.1,156.4,46.6
ind_32,M,15,162.7,51.2
ind_32,M,16,166,55.7
ind_32,M,16.9,170.3,59.6
ind_32,M,18.1,171.4,62.6
ind_33,F,1.3,72.7,8.9
ind_33,F,2.9,93.3,11.7
ind_33,F,4.2,101.5,12.1
ind_33,F,5,107.4,13.2
ind_33,F,6.4,113.6,16
ind_33,F,7.3,119.4,15.9
ind_33,F,8,125.2,17.1
ind_33,F,11,142.7,24
ind_33,F,12.1,148.7,28.2
ind_33,F,14.2,157.2,33
ind_33,F,16,160,37.1
ind_33,F,17.2,160.5,38.6
ind_33,F,18.3,160.2,37.3
ind_34,M,0.9,71.8,7.3
ind_34,M,3.1,90.8,10.9
ind_34,M,4.1,96.4,10.7
ind_34,M,5,103.3,12.5
ind_34,M,6.1,109.3,15.4
ind_34,M,6.9,113.5,16.4
ind_34,M,8.4,118.3,19.8
ind_34,M,9,123.3,21.9
ind_34,M,10.2,127.4,18.8
ind_34,M,10.8,132.2,22.8
ind_34,M,11.8,138.4,27.7
ind_34,M,13,143.3,27.4
ind_34,M,14,151.3,35.1
ind_34,M,14.8,156.1,40.7
ind_34,M,16,160.3,43
ind_34,M,18,164.9,48.9
ind_35,M,1.1,77.6,10.1
ind_35,M,2.1,87.5,12.1
ind_35,M,4.1,104.8,15.5
ind_35,M,5,111.6,16.7
ind_35,M,6,117.8,19.6
ind_35,M,7.3,124.3,23.1
ind_35,M,8,129.1,25.6
ind_35,M,8.9,134.1,27.3
ind_35,M,10,140.7,30.7
ind_35,M,12,151.5,39.3
ind_35,M,15,172.3,54.7
ind_35,M,16.3,176.9,61.3
ind_36,F,0.9,75.9,11.5
ind_36,F,3,97,15.7
ind_36,F,6,117.8,24.2
ind_36,F,7,124,28.9
ind_36,F,11.4,148.9,45.9
ind_36,F,13.4,161,56
ind_36,F,15.2,167,66.6
ind_36,F,16,167.8,68.3
ind_36,F,17,168.1,70.3
ind_37,F,1.3,72.4,8
ind_37,F,2.4,84.6,9.8
ind_37,F,3.3,93.6,12
ind_37,F,3.9,101.1,11.9
ind_37,F,6,112.8,15.3
ind_37,F,8,124.8,18.2
ind_37,F,9,130.5,19.6
ind_37,F,10.1,135.6,23.9
ind_37,F,11.2,141.8,27.6
ind_37,F,11.9,147.7,31.9
ind_37,F,13,152.2,34.2
ind_37,F,14.2,155.9,38.1
ind_37,F,16.3,158.7,44.7
ind_37,F,17,158.8,46
ind_38,M,1.4,74.9,10.1
ind_38,M,2,85,12.1
ind_38,M,3,94.9,14.1
ind_38,M,4.3,101.7,15.7
ind_38,M,5.2,108.7,17.2
ind_38,M,6.9,120.3,22.7
ind_38,M,8.1,125.5,26.2
ind_38,M,9.1,130.5,28.2
ind_38,M,10.1,136,32
ind_38,M,11,140.8,35.5
ind_38,M,13,153.4,45.7
ind_38,M,15.2,166.1,56.7
ind_38,M,16.2,169.8,63.1
ind_38,M,17,173.8,67
ind_39,M,4.1,100,14.1
ind_39,M,5,106.6,15.3
ind_39,M,6.4,112.5,19.5
ind_39,M,7,117.7,20.3
ind_39,M,8.1,122.7,24
ind_39,M,8.9,127.2,25.1
ind_39,M,10.1,132.3,26.3
ind_39,M,11.1,137.3,29.5
ind_39,M,12.1,143.1,33.9
ind_39,M,13.2,148.4,36.4
ind_39,M,14,154.7,42.6
ind_39,M,17.4,168.3,56.6
ind_39,M,18.4,169.6,60.7
ind_40,M,2.3,89.4,14.5
ind_40,M,3.3,99.6,16.4
ind_40,M,4,106.8,18
ind_40,M,5.1,113.8,19.8
ind_40,M,7.4,127.9,27.2
ind_40,M,8.2,133.1,29.9
ind_40,M,10.1,145.9,38.4
ind_40,M,11,151.6,41.8
ind_40,M,12.2,158.8,47.9
ind_40,M,13.1,166.7,55.3
ind_40,M,14.1,174.1,61.6
ind_40,M,15,181.1,66.2
ind_40,M,16,186.8,76.3
ind_40,M,17.1,189.9,79.8
ind_40,M,18.2,192.5,82.9
ind_41,F,2.3,89.2,15
ind_41,F,3.4,98.3,17.3
ind_41,F,5.9,117.4,24.8
ind_41,F,7,123.3,29.3
ind_41,F,10,141.9,39.9
ind_41,F,13.2,160.4,56
ind_41,F,14,164,60.6
ind_41,F,15.2,166.3,66.4
ind_41,F,16,167.3,67.9
ind_41,F,17,167.7,68.5
ind_42,M,2,86.4,11.3
ind_42,M,3,96.4,13.3
ind_42,M,4.1,103.6,14.4
ind_42,M,5.3,110.6,15.9
ind_42,M,6,116.5,18.9
ind_42,M,7,122.7,21.2
ind_42,M,8,127.6,24.6
ind_42,M,11,143.8,32
ind_42,M,12.3,149.8,37.1
ind_42,M,13.1,156.9,40.4
ind_42,M,15.1,169.9,51.7
ind_42,M,16,173.9,55.8
ind_42,M,18,179,63.3
ind_43,F,1.1,73.4,11
ind_43,F,2,85.2,12.8
ind_43,F,2.8,94,14.2
ind_43,F,4.1,102.2,17.3
ind_43,F,5.2,108.2,19.2
ind_43,F,6.9,119.7,24.9
ind_43,F,8,125.8,27.9
ind_43,F,9,131.9,30.1
ind_43,F,10,137.3,35.5
ind_43,F,11.1,143.6,41.5
ind_43,F,12.2,149.5,47.1
ind_43,F,12.9,153.8,52.1
ind_43,F,15.1,159.9,62.5
ind_43,F,17,160.7,63.8
ind_43,F,17.8,160.9,63.6
ind_44,M,1.3,72.8,8.3
ind_44,M,3,93.1,12.7
ind_44,M,4.2,99.3,13.6
ind_44,M,5,106.4,15.2
ind_44,M,5.8,112.4,18.3
ind_44,M,7.4,118.1,20.3
ind_44,M,9.2,128,26
ind_44,M,10.1,132.3,27.3
ind_44,M,10.9,137.5,30.5
ind_44,M,12,142.7,35.8
ind_44,M,13.3,149,38.7
ind_44,M,14,154.9,44.7
ind_44,M,15.1,160.2,49.1
ind_44,M,16,164.9,52.9
ind_44,M,17,168.4,57.7
ind_44,M,18,168.7,60.6
ind_45,M,1.4,75.9,12.4
ind_45,M,2,85.7,13.2
ind_45,M,3.1,95.7,15.4
ind_45,M,5,109.7,18.7
ind_45,M,6.1,115.7,22.1
ind_45,M,6.9,121.6,24.4
ind_45,M,8,126.6,28
ind_45,M,8.9,131.6,29.7
ind_45,M,10.8,142.3,38.6
ind_45,M,12.2,148.5,44.8
ind_45,M,13,155.3,51.5
ind_45,M,15,168.2,62.5
ind_45,M,16.4,172.2,71.7
ind_45,M,17,176.2,74
ind_45,M,18,177.1,76.4
ind_46,F,1,72.1,7.6
ind_46,F,2,84.2,9.7
ind_46,F,3,93.2,11.5
ind_46,F,3.8,100.8,10.2
ind_46,F,6.1,113,13.9
ind_46,F,7.4,119.2,15.3
ind_46,F,9,130.7,17.8
ind_46,F,10.2,136.3,22.6
ind_46,F,11,142.2,27
ind_46,F,12.1,148.3,30.5
ind_46,F,13.2,152.6,33
ind_46,F,13.9,156.3,36.3
ind_46,F,14.9,157.8,38.6
ind_46,F,16,158.9,42.8
ind_46,F,18,159.4,42.4
ind_47,F,1,75.2,10.4
ind_47,F,2.2,87.3,12.2
ind_47,F,3.3,96.3,14.2
ind_47,F,4.9,110.3,17.9
ind_47,F,6.2,116.6,20.9
ind_47,F,7.1,122.4,24
ind_47,F,8.1,128.4,26.6
ind_47,F,9,134.6,28.9
ind_47,F,10.8,147.3,39.4
ind_47,F,12.1,153.6,44
ind_47,F,13.4,159.8,49.1
ind_47,F,14,163.9,53.4
ind_47,F,15,165.7,57.6
ind_47,F,16.1,166.9,59
ind_48,F,1,75.9,13.4
ind_48,F,2.3,88,15.5
ind_48,F,3.2,96.8,17.8
ind_48,F,4,105.3,23
ind_48,F,5.4,111.2,23.6
ind_48,F,7,123.3,36.2
ind_48,F,7.8,129.4,38.7
ind_48,F,10,142.4,47.7
ind_48,F,11,148.2,53.3
ind_48,F,12.2,154.3,59.4
ind_48,F,13,160.6,68.2
ind_48,F,16,167.1,80.2
ind_49,F,1,77.7,13.1
ind_49,F,2,89.9,15
ind_49,F,4.3,108.2,22
ind_49,F,5.2,114.6,23.1
ind_49,F,6,120.8,27.8
ind_49,F,7.1,126.9,33.2
ind_49,F,7.8,133.1,35
ind_49,F,10,148.4,43.1
ind_49,F,11.1,154.2,50.7
ind_49,F,12,159.3,55.1
ind_49,F,14.1,170.1,69.7
ind_49,F,15.2,171.1,74.3
ind_49,F,15.8,173.3,75.3
ind_49,F,17,173.4,77.8
ind_50,F,0.8,74.2,11.8
ind_50,F,1.9,86.2,13.7
ind_50,F,3.1,95.2,15.5
ind_50,F,4.2,103.3,18.8
ind_50,F,6.3,115.2,23.6
ind_50,F,8,127.2,29.5
ind_50,F,9,133.2,32.3
ind_50,F,10,139.3,38.2
ind_50,F,11,145.3,44.6
ind_50,F,13,156.3,56.3
ind_50,F,15.1,162.3,65.4
ind_50,F,16,163.4,67.3
ind_50,F,17,163.5,68.7
ind_50,F,18,163.5,68.3
ind_51,F,3,93.8,13
ind_51,F,4,101.5,13.4
ind_51,F,5,107.6,15
ind_51,F,6,113.5,17.5
ind_51,F,9,131.3,23.1
ind_51,F,11.1,142.9,31.4
ind_51,F,15,159.2,45.6
ind_51,F,18.2,160.5,49.9
ind_52,M,1.2,76.6,10.5
ind_52,M,1.9,86.6,12.6
ind_52,M,3,96.6,14.6
ind_52,M,6,116.7,20.7
ind_52,M,6.9,122.9,23.4
ind_52,M,7.9,127.8,27
ind_52,M,9.2,132.8,28.8
ind_52,M,10,139,33.2
ind_52,M,11.1,144.1,36.5
ind_52,M,13.3,157.2,47.1
ind_52,M,14.4,164.2,53.1
ind_52,M,16,174,65.4
ind_52,M,17.2,177.9,69.5
ind_52,M,18.2,179.1,73.3
ind_53,F,1.4,72.8,9
ind_53,F,2.1,84.3,9.9
ind_53,F,2.9,93.3,11.5
ind_53,F,4,100.9,11.3
ind_53,F,5,107,12.7
ind_53,F,6.4,113.4,15.5
ind_53,F,7,119.1,14.2
ind_53,F,8.1,125.2,16.9
ind_53,F,9.1,131,18.6
ind_53,F,10.1,136.2,21.8
ind_53,F,11.3,142.4,25.4
ind_53,F,12.2,148,29.5
ind_53,F,13.4,151.9,32.4
ind_53,F,13.9,155.3,34.6
ind_53,F,16,157.9,41.4
ind_54,F,2,86.1,12.4
ind_54,F,2.9,95.1,14.7
ind_54,F,4,103.2,16.4
ind_54,F,6,115.2,21.2
ind_54,F,7,121.2,24
ind_54,F,9,133.2,29
ind_54,F,11,145.2,39.7
ind_54,F,12,151.3,44.3
ind_54,F,13,156.3,49.6
ind_54,F,13.9,160.4,54
ind_54,F,14.8,162.4,58
ind_54,F,16.2,163.4,59.3
ind_54,F,18.1,163.5,60.1
ind_55,M,1.1,73.1,6.7
ind_55,M,3,93.4,11
ind_55,M,5,106.7,12.3
ind_55,M,6.3,112.4,15.1
ind_55,M,7.9,122.9,20.3
ind_55,M,10,131.6,20.6
ind_55,M,12,143.5,29.7
ind_55,M,13,150.4,29.9
ind_55,M,14.1,157,36
ind_55,M,15.1,162.9,41.3
ind_55,M,16.8,170.3,45.9
ind_55,M,18.1,171,47.9
ind_56,M,1,76.4,9.8
ind_56,M,2.1,86.5,12
ind_56,M,3.3,96.6,14.3
ind_56,M,4,103.6,15.2
ind_56,M,5,110.6,16.7
ind_56,M,6.2,116.7,20.1
ind_56,M,7.3,122.9,22.6
ind_56,M,8,127.6,25.6
ind_56,M,9,132.7,27.6
ind_56,M,10,139,30.6
ind_56,M,12.3,150.2,39.6
ind_56,M,13,157.1,43.6
ind_56,M,13.8,164.1,49.3
ind_56,M,15,170.2,54.6
ind_56,M,16,174.2,60.2
ind_56,M,17.1,178.3,64.3
ind_56,M,18.1,179.2,67.4
ind_57,M,0.9,73.8,7.6
ind_57,M,2.3,84.1,10.9
ind_57,M,4.1,100.2,12.9
ind_57,M,5,106.9,14.4
